id,id2,Census Tract,County,State,Median_income,Income Bracket,ENERGY BILL,ELEC BILL,GAS BILL,WATER BILL,energy burden,elec burden,gas bill,water bill,Total HH,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",HH_Living costs (month),HH_Living Costs (annual),Poverty Rate,Population_Greater_Mile,Food_Desert,Elderly Living Alone,Rent Burden,Eviction Rates,Eviction Filings,Eviction Filing Rates,Transportation Burden,Lack of Health Insurance,Tree Canopy Coverage,Vacant Houses
1400000US36029004001,36029004001,40.01,Erie,New York,20369,4.2,2030.742857,916.5362637,1114.206593,539.378022,0.09969772,0.044996625,0.054701094,0.026480339,1170,53,144,246,262,290,329,351,428,451,577,709,824,900,1036,1124,1170,757,9084,48,Null,1,0.150691953,0.349,0.0156,162,0.1483,0.19,0.061,0.134204998,0.328205128
1400000US36029005600,36029005600,56,Erie,New York,16076,3.2,1898.225352,940.7323944,957.4929577,422.685446,0.118078213,0.058517815,0.059560398,0.026292949,1649,75,150,209,314,392,469,493,522,619,871,1051,1285,1439,1588,1633,1649,640,7680,38,Null,0,0.097365407,0.254,0.008,578,0.514,0.2,0.041,0.074443498,0.053972104
1400000US36029006902,36029006902,69.02,Erie,New York,18503,3.4,2306.666667,830.7777778,1475.888889,288.7962963,0.124664469,0.044899626,0.079764843,0.01560808,914,52,112,196,291,317,345,407,462,489,573,682,775,857,914,914,914,748,8976,41.9,Null,0,0.197505198,0.414,0.0045,115,0.0865,0.17,0.023,0.105085001,0.276805252
1400000US36029001700,36029001700,17,Erie,New York,15095,3.2,2549.030995,1118.427406,1430.603589,486.502447,0.168865916,0.074092574,0.094773341,0.032229377,807,76,178,228,337,433,533,576,618,643,695,706,741,785,796,807,807,579,6948,32.1,Null,0,0.21751026,0.253,0.0021,27,0.0569,0.2,0.109,0.072280798,0.195786865
1400000US36029003000,36029003000,30,Erie,New York,19234,4.1,2593.028571,1070.651429,1522.377143,664.1866667,0.134814837,0.055664523,0.079150314,0.034531905,1367,280,457,591,665,675,767,837,849,931,1034,1130,1278,1332,1341,1367,1367,718,8616,42.6,Null,0,0.162661738,0.438,0.0143,70,0.1112,0.21,0.086,0.106503,0.045354792
1400000US36029012300,36029012300,123,Erie,New York,18777,4.1,1664.070423,769.9859155,894.084507,207.1971831,0.088622806,0.041006866,0.04761594,0.011034627,705,72,106,124,141,144,153,172,187,220,288,367,468,549,610,654,705,685,8220,24,Null,1,0.16729465,0.259,0.0011,1,0.0011,0.2,0.038,0.132768002,0.157446809
1400000US36029002300,36029002300,23,Erie,New York,17553,3.4,2561.965116,1229.476744,1332.488372,670.9273256,0.145955969,0.070043682,0.075912287,0.038222943,1078,243,410,460,510,597,743,781,835,898,940,949,1061,1070,1070,1078,1078,591,7092,42.3,Null,0,0.153024911,0.317,0.01,69,0.0864,0.2,0.09,0.095291405,0.19109462
1400000US36029016600,36029016600,166,Erie,New York,17249,3.3,2476.476923,1135.015385,1341.461538,469.0923077,0.143572203,0.065801808,0.077770395,0.027195334,1106,92,130,241,347,449,520,567,646,702,777,897,1007,1080,1089,1100,1106,656,7872,32.3,Null,0,0.180604982,0.3742,0.0154,111,0.1705,0.2,0.028,0.126091003,0.149186257
1400000US36029001000,36029001000,10,Erie,New York,22185,4.3,2717.484029,1320.412776,1397.071253,242.968059,0.122491955,0.059518268,0.062973687,0.010951907,1496,216,350,572,804,860,955,1012,1087,1134,1271,1338,1461,1484,1484,1496,1496,811,9732,17.9,Null,0,0.108523726,0.315,0.0096,96,0.077,0.2,0.017,0.216207008,0.187834225
1400000US36029007000,36029007000,70,Erie,New York,15654,3.2,1999.395349,940.744186,1058.651163,762.505814,0.127724246,0.06009609,0.067628157,0.048709966,1546,169,213,237,290,441,493,576,678,719,841,1010,1197,1317,1399,1450,1546,761,9132,49.9,Null,0,0.078138718,0.37,0.0054,68,0.0735,0.18,0.016,0.094098902,0.137774903
